usr1,usr2
454747,1798463
36233,3785977
4769530,5933583
516819,3481577
69856,5516634
742786,6902645
92843,3481577
2908342,3203536
2688004,6212380
473,2067052
93746,273426
56154,440039
587102,5724228
357940,6202990
435688,2411545
405590,2411545
1894914,2404390
1076044,6551009
30863,132665
133141,1316957
1320780,1516901
9211,641255
916926,4035394
72342,1231495
998313,1067313
434165,3203536
176259,402967
884982,1161310
233976,8639146
9211,3497995
132665,2641840
1067313,1364486
69856,209811
357940,1387211
1832244,8639146
435688,6190771
54161,194198
111461,5143989
23567,998313
111461,189281
132665,1119331
631996,8343416
189281,273426
962131,5902332
516819,6190771
1402639,1894914
23567,1507577
1405995,2608895
46271,3700974
3515929,5642707
2315607,2525897
33054,3282780
3427141,6119599
516819,627271
2141080,5871937
133141,2353363
23567,56748
368741,998313
1755055,2908342
278913,2646915
1754803,1836668
29755,434165
694259,3577991
69856,962131
587102,808866
869990,5143989
3515929,6634170
1387211,1937524
357940,694259
63134,76946
146648,2853693
711003,6119599
69856,694259
938549,1014658
9211,3182384
1152071,6184862
631996,4759041
85051,2225982
1229358,1379054
1320780,3219133
218869,1067313
1134263,4556198
90131,92843
1376285,4556198
33841,630373
54161,1516901
98936,2502438
2438710,4769530
29755,755148
54906,1279493
1755055,3269965
1062140,1956315
1754803,2315607
82192,90131
146648,8639146
3182384,8639146
2270968,5934494
493975,1279493
1405995,1671300
2502438,3219133
1076044,2828992
2438710,3734289
1758425,3506284
46271,56748
884982,6902645
36470,1316957
90131,627271
1548496,3700974
68636,440039
232755,2225982
194198,2075011
3481577,6164668
185943,1062140
1075084,6634170
56154,438326
686203,694259
887375,2537610
2404390,7039321
600122,3011117
20707,241585
435688,630373
1671300,8639146
912312,2277728
302697,7991310
792285,1754803
1077837,1758425
157494,1229358
316231,5642707
69856,3203536
3785977,7991310
631996,6527694
333886,1516901
156320,176259
424320,8726568
1249940,3700974
1739,1424016
884982,4424345
4447,8726568
641255,2067052
1134263,5960075
82192,402967
402967,1249940
212282,3427141
54161,6634170
57421,2270968
133141,454747
13217,56154
2353363,3577991
1956315,6190771
2353363,7991310
46271,6212380
438326,2661032
505852,1513467
430086,887375
111461,1144573
156568,1937524
156320,2223873
86959,686203
47664,3481577
1134263,2908342
209803,2525897
82192,1962045
64356,1062140
933601,2223873
233976,587102
5902332,6071306
209811,1145853
459282,1372282
64356,570900
36233,1320780
125878,1758425
405590,570900
2661032,7789569
46271,779141
64356,1077837
402967,938549
9892,1695030
241585,8835479
2300789,4556198
912312,3828843
288997,742786
3182384,3506284
266091,742786
125009,587102
1261542,2411545
1739,7250838
334563,8726568
2502438,6527694
93746,998313
792285,2646915
46271,1937524
185943,454747
9892,641255
176259,4424345
1387211,2688004
912312,4724924
1385270,1547483
711003,3785977
7210,1076044
1261542,5143989
1316957,8634891
1134263,3700974
634955,1067313
278913,430086
125878,4556198
505852,7496333
755148,4759041
587102,1616594
86959,241585
2661032,3203536
1451192,2853693
52790,3749329
473,2596435
1755055,2223873
156568,1451192
932135,1836668
101455,232755
9211,36233
9211,792285
52238,68636
146648,6213971
454747,5871937
582168,3749329
868924,8835479
2661032,5143989
132665,2453479
454747,2641840
33841,36470
6171,111461
505852,1372282
521120,4035394
434165,7991310
1273177,1962045
27266,5642707
2411545,3734289
641255,2463963
2223873,2661032
1261542,5960075
25430,503122
334563,5043133
9892,6902645
13743,5714991
133141,7991310
42843,1758425
33054,156320
440039,5516634
5714991,8639146
3269965,6164668
1005107,5714991
1616594,2853693
711003,1826001
146648,3269965
739796,869990
2908342,3079937
56762,1894914
359482,1507577
146648,1249940
435688,6202990
82192,92843
56748,4769530
156320,3003468
218869,405590
98936,2141080
13743,1152071
6902645,7789569
176259,5902332
454747,2075011
208550,1231495
55581,2353363
29755,2270968
1507577,3506284
13217,694259
85051,1405995
739796,6213971
402967,4759041
132665,2300789
405590,2803008
1937524,2646915
218869,2803008
1075084,1516901
779141,6902645
68636,1956315
93746,582168
4868645,5043133
33841,899891
52238,2054463
42843,93746
266091,5143989
1067313,5934494
755148,1451192
25430,6213971
438326,788587
438326,998313
537571,6164668
68636,626875
1516901,2463963
739796,1279493
55581,1758425
54906,962131
630373,2525897
686203,3481577
1144573,6213971
20707,8835479
620271,2225982
2608895,3481577
157494,6808752
208550,587102
233976,3269965
1320780,1912944
2641840,6213971
1379848,1424016
56762,6190771
9211,7250838
1754803,5143989
1756703,4724924
2853693,4724924
189281,334563
232755,690214
68605,694259
156568,2818736
156568,1516901
887375,1756703
30863,5871937
334563,8835479
1758425,4759041
46271,334563
454747,742786
430086,620271
57421,5871937
98936,2596435
868924,2169738
1947676,2641840
4759041,6527694
620271,690214
47664,424320
2270968,4035394
42843,438326
3203536,8634891
1616594,2067052
316231,7789569
241585,8639146
9892,1402639
233976,509529
1451192,6527694
156320,5724228
72606,460856
986847,3828843
9892,694259
